P0,A0,B0,k_A,k_B,K,n,t_activation,t_cross,t50,t90,delta_t_50_90,t90_primary_limit,t90_excess_delay,max_secondary_fraction,secondary_fraction_at_t50,secondary_fraction_at_t90,secondary_reservoir_converted,integrated_secondary_fraction,B50_fraction_remaining,B90_fraction_remaining,final_P,final_A,final_B,max_conservation_error
0.01,0.39,0.6,0.15,0.6,0.05,4,0.4352176088044022,0.33016508254127064,2.161080540270135,9.349674837418709,7.188594297148574,9.14017925992735,0.20949557749135828,0.8520781309538195,0.7496319201149433,0.10545425676993117,0.9999999803986006,0.6087245452078796,0.3518696422388667,0.004712400713457259,0.9956674795892446,0.004332508649914875,1.1760839689234574e-08,1.3322676295501878e-15
0.01,0.39,0.6,0.15,0.6,0.1,1,0.5702851425712857,0.09004502251125562,2.5212606303151577,9.52976488244122,7.0085042521260625,9.14017925992735,0.3895856225138701,0.7884293384403739,0.7398623799176954,0.17600802132077886,0.9999998651505675,0.6087245177582189,0.3793038636541097,0.00923335755327829,0.9956674104404254,0.004332508649914886,8.090965951201793e-08,8.881784197001252e-16
0.01,0.39,0.6,0.15,0.6,0.1,2,0.7803901950975488,0.42021010505252626,2.4912456228114057,9.409704852426213,6.9184592296148075,9.14017925992735,0.2695255924988622,0.8235566283017594,0.7645921652853577,0.13739707938233947,0.9999999686310052,0.6087245424050857,0.37745725343021996,0.006387759202276505,0.9956674725286888,0.00433250864991489,1.8821396891857607e-08,1.3322676295501878e-15
0.01,0.39,0.6,0.15,0.6,0.1,4,1.0655327663831917,0.8254127063531767,2.641320660330165,9.42471235617809,6.783391695847924,9.14017925992735,0.28453309625073864,0.8520346465463696,0.7785615802554463,0.14277271735473246,0.9999999713138696,0.6087245430440876,0.3850221813929103,0.006584205256540806,0.9956674741384066,0.004332508649914884,1.7211678208891575e-08,8.881784197001252e-16
0.01,0.39,0.6,0.15,0.6,0.2,1,1.3056528264132066,0.3001500750375188,3.0465232616308153,9.844922461230615,6.7983991995998,9.14017925992735,0.7047432013032644,0.7656476541332513,0.7410694793341918,0.2645907469542835,0.9999992787533939,0.6087243780906699,0.41074520758035443,0.01631585062314225,0.9956670586021226,0.004332508649914861,4.3274796366691306e-07,1.3322676295501878e-15
0.01,0.39,0.6,0.15,0.6,0.2,2,1.8009004502251127,1.0055027513756878,3.3166583291645826,9.664832416208105,6.348174087043523,9.14017925992735,0.5246531562807544,0.8112433051883763,0.7887407683767684,0.2330527160619996,0.9999998995198675,0.6087245259442646,0.42628778010242835,0.0121566551222403,0.995667431062006,0.004332508649914891,6.028807948587963e-08,6.661338147750939e-16
0.01,0.39,0.6,0.15,0.6,0.2,4,2.4762381190595297,1.9059529764882441,3.7668834417208608,9.709854927463732,5.942971485742872,9.14017925992735,0.5696756675363819,0.8564239032578105,0.827289268570084,0.25608372901138277,0.9999999310314993,0.6087245334496735,0.45314371902326495,0.013068408603085023,0.9956674499689848,0.004332508649914887,4.13811004015051e-08,1.1102230246251565e-15
0.01,0.39,0.6,0.15,0.6,0.3,1,2.1310655327663834,0.5102551275637819,3.4817408704352175,10.220110055027513,6.738369184592296,9.14017925992735,1.0799307951001627,0.7517098867535869,0.7398525236407175,0.34117924813009937,0.9999972044154453,0.6087238840259315,0.43640216029238144,0.024214359540322222,0.9956658139993512,0.004332508649914754,1.6773507329131526e-06,1.2212453270876722e-15
0.01,0.39,0.6,0.15,0.6,0.3,2,2.941470735367684,1.5907953976988494,4.1270635317658835,10.100050025012507,5.972986493246624,9.14017925992735,0.9598707650851566,0.8051547271050435,0.8003762219046586,0.3530417196562342,0.9999995999456243,0.6087244545919575,0.4744633674405134,0.021650974884506194,0.9956672513174609,0.004332508649914842,2.4003262547022463e-07,1.3322676295501878e-15
0.01,0.39,0.6,0.15,0.6,0.3,4,4.112056028014007,3.0615307653826913,5.117558779389695,10.280140070035017,5.162581290645322,9.14017925992735,1.1399608101076666,0.8647891703968705,0.8599609110865563,0.42111688045938855,0.9999997928667541,0.6087245005417308,0.5198729111391994,0.025602042764731964,0.9956673670701359,0.004332508649914811,1.2427994759549886e-07,2.1094237467877974e-15
